,nation,sido,gu,GB3,GB2,TA_YM,DAW_CCD_R,APV_TS_DL_TM_R,VLM,USEC
1,아랍에미레이트,강원,강릉시,의료,종합병원,201801,WHITE,활동,24195 ,1
2,아랍에미레이트,강원,원주시,교통,교통,201608,RED,활동,86180 ,1
3,아랍에미레이트,강원,인제군,쇼핑,기타지출,201809,RED,활동,24420 ,1
4,아랍에미레이트,강원,춘천시,의료,종합병원,201808,WHITE,활동,140000 ,1
5,아랍에미레이트,강원,원주시,의료,개인병원,201809,WHITE,활동,41700 ,2
6,아랍에미레이트,강원,원주시,의료,약국,201609,RED,활동,9000 ,1
7,아랍에미레이트,강원,양양군,의료,약국,201807,WHITE,활동,55900 ,1
8,아랍에미레이트,강원,원주시,의료,약국,201607,WHITE,활동,4000 ,1
9,아랍에미레이트,강원,춘천시,의료,약국,201604,WHITE,활동,11000 ,1
10,아랍에미레이트,강원,춘천시,의료,약국,201708,WHITE,활동,504800 ,1
11,아랍에미레이트,강원,평창군,체험,피부미용,201702,WHITE,활동,80000 ,1
12,아랍에미레이트,강원,강릉시,교통,교통,201802,WHITE,휴식,20000 ,1
13,아랍에미레이트,강원,속초시,교통,교통,201608,WHITE,활동,106000 ,2
14,아랍에미레이트,강원,원주시,교통,교통,201804,WHITE,활동,1041000 ,5
15,아랍에미레이트,강원,강릉시,교통,교통,201802,RED,활동,91000 ,2
16,아랍에미레이트,강원,원주시,교통,교통,201601,WHITE,활동,60000 ,1
17,아랍에미레이트,강원,인제군,교통,교통,201607,RED,휴식,73000 ,1
18,아랍에미레이트,강원,춘천시,교통,교통,201805,WHITE,활동,206329 ,3
19,아랍에미레이트,강원,평창군,교통,교통,201802,WHITE,활동,68500 ,10
20,아랍에미레이트,강원,평창군,교통,교통,201802,RED,활동,27000 ,4
21,아랍에미레이트,강원,평창군,교통,교통,201707,RED,활동,104500 ,6
22,아랍에미레이트,강원,평창군,교통,교통,201806,RED,휴식,148000 ,1
23,아랍에미레이트,강원,평창군,교통,교통,201705,WHITE,휴식,85000 ,1
24,아랍에미레이트,강원,평창군,교통,교통,201712,WHITE,활동,4000 ,1
25,아랍에미레이트,강원,동해시,교통,교통,201804,WHITE,활동,100000 ,1
26,아랍에미레이트,강원,동해시,교통,교통,201803,WHITE,활동,504000 ,1
27,아랍에미레이트,강원,평창군,숙박,그외숙박,201611,WHITE,활동,445346 ,3
28,아랍에미레이트,강원,평창군,숙박,그외숙박,201703,WHITE,휴식,287100 ,1
29,아랍에미레이트,강원,홍천군,교통,교통,201601,RED,활동,47109 ,1
30,아랍에미레이트,강원,홍천군,숙박,그외숙박,201709,WHITE,활동,466100 ,5
31,아랍에미레이트,강원,고성군,숙박,그외숙박,201609,WHITE,활동,287000 ,1
32,아랍에미레이트,강원,삼척시,숙박,그외숙박,201812,WHITE,활동,210000 ,2
33,아랍에미레이트,강원,정선군,숙박,그외숙박,201801,RED,활동,214500 ,3
34,아랍에미레이트,강원,정선군,숙박,그외숙박,201701,WHITE,취침,130000 ,1
35,아랍에미레이트,강원,평창군,숙박,그외숙박,201812,WHITE,휴식,250000 ,1
36,아랍에미레이트,강원,평창군,숙박,그외숙박,201609,RED,활동,40890 ,1
37,아랍에미레이트,강원,홍천군,숙박,그외숙박,201707,RED,활동,452600 ,6
38,아랍에미레이트,강원,원주시,쇼핑,할인점/편의점,201601,WHITE,활동,565900 ,11
39,아랍에미레이트,강원,양양군,쇼핑,할인점/편의점,201807,WHITE,활동,26050 ,1
40,아랍에미레이트,강원,속초시,쇼핑,기타쇼핑,201808,WHITE,활동,286500 ,2
41,아랍에미레이트,강원,양양군,쇼핑,기타쇼핑,201807,RED,휴식,27280 ,1
42,아랍에미레이트,강원,춘천시,쇼핑,할인점/편의점,201604,WHITE,활동,551500 ,13
43,아랍에미레이트,강원,강릉시,쇼핑,할인점/편의점,201801,WHITE,활동,1182210 ,24
44,아랍에미레이트,강원,강릉시,쇼핑,할인점/편의점,201802,RED,휴식,38240 ,7
45,아랍에미레이트,강원,동해시,쇼핑,할인점/편의점,201804,RED,활동,130180 ,3
46,아랍에미레이트,강원,평창군,쇼핑,할인점/편의점,201704,WHITE,활동,45720 ,3
47,아랍에미레이트,강원,평창군,쇼핑,할인점/편의점,201706,WHITE,활동,166360 ,5
48,아랍에미레이트,강원,평창군,쇼핑,할인점/편의점,201803,WHITE,활동,346790 ,12
49,아랍에미레이트,강원,평창군,쇼핑,할인점/편의점,201706,RED,활동,308640 ,3
50,아랍에미레이트,강원,평창군,쇼핑,할인점/편의점,201807,WHITE,휴식,123770 ,2
51,아랍에미레이트,강원,평창군,쇼핑,할인점/편의점,201712,WHITE,활동,417640 ,14
52,아랍에미레이트,강원,평창군,쇼핑,할인점/편의점,201802,WHITE,휴식,482760 ,14
53,아랍에미레이트,강원,평창군,쇼핑,할인점/편의점,201703,WHITE,활동,122620 ,2
54,아랍에미레이트,강원,횡성군,쇼핑,할인점/편의점,201601,WHITE,휴식,109770 ,2
55,아랍에미레이트,강원,속초시,음식,한식외,201607,WHITE,활동,131700 ,2
56,아랍에미레이트,강원,철원군,쇼핑,할인점/편의점,201707,RED,활동,16450 ,2
57,아랍에미레이트,강원,동해시,음식,한식외,201804,WHITE,활동,11200 ,1
58,아랍에미레이트,강원,평창군,음식,한식외,201601,RED,휴식,45100 ,1
59,아랍에미레이트,강원,강릉시,음식,한식외,201802,RED,휴식,360100 ,14
60,아랍에미레이트,강원,동해시,음식,한식외,201712,WHITE,휴식,14100 ,1
61,아랍에미레이트,강원,평창군,음식,한식외,201801,WHITE,활동,218900 ,12
62,아랍에미레이트,강원,평창군,음식,한식외,201610,WHITE,활동,28100 ,4
