,nation,sido,gu,GB3,GB2,TA_YM,DAW_CCD_R,APV_TS_DL_TM_R,VLM,USEC
1,프랑스,강원,강릉시,쇼핑,기타지출,201810,RED,활동,10000 ,1
2,프랑스,강원,강릉시,쇼핑,기타지출,201812,RED,활동,25000 ,5
3,프랑스,강원,속초시,의료,종합병원,201705,WHITE,취침,391060 ,2
4,프랑스,강원,원주시,의료,종합병원,201602,WHITE,활동,155030 ,2
5,프랑스,강원,춘천시,의료,종합병원,201608,WHITE,휴식,136100 ,1
6,프랑스,강원,춘천시,의료,종합병원,201708,WHITE,활동,72860 ,1
7,프랑스,강원,춘천시,의료,종합병원,201805,WHITE,활동,77470 ,3
8,프랑스,강원,평창군,쇼핑,기타지출,201610,WHITE,활동,504000 ,1
9,프랑스,강원,강릉시,의료,개인병원,201808,WHITE,활동,238800 ,3
10,프랑스,강원,속초시,의료,개인병원,201809,WHITE,활동,17500 ,1
11,프랑스,강원,삼척시,의료,약국,201804,WHITE,활동,2500 ,1
12,프랑스,강원,속초시,의료,약국,201710,WHITE,휴식,15500 ,2
13,프랑스,강원,원주시,의료,약국,201610,RED,활동,142100 ,2
14,프랑스,강원,원주시,의료,약국,201609,RED,활동,112400 ,2
15,프랑스,강원,강릉시,의료,약국,201708,WHITE,활동,139900 ,4
16,프랑스,강원,강릉시,의료,약국,201802,WHITE,활동,106800 ,4
17,프랑스,강원,원주시,의료,약국,201606,RED,활동,6000 ,1
18,프랑스,강원,원주시,의료,약국,201703,WHITE,활동,28000 ,1
19,프랑스,강원,원주시,의료,약국,201603,WHITE,활동,43610 ,2
20,프랑스,강원,강릉시,의료,약국,201702,WHITE,휴식,9000 ,1
21,프랑스,강원,속초시,의료,약국,201705,WHITE,활동,8700 ,1
22,프랑스,강원,원주시,의료,약국,201610,WHITE,활동,66100 ,3
23,프랑스,강원,원주시,의료,약국,201807,WHITE,활동,5000 ,1
24,프랑스,강원,원주시,의료,약국,201603,WHITE,휴식,3000 ,1
25,프랑스,강원,원주시,의료,약국,201804,RED,활동,21500 ,1
26,프랑스,강원,원주시,의료,약국,201611,RED,활동,122700 ,2
