,nation,sido,gu,GB3,GB2,TA_YM,DAW_CCD_R,APV_TS_DL_TM_R,VLM,USEC
1,독일,강원,강릉시,의료,종합병원,201612,WHITE,활동,105560 ,1
2,독일,강원,강릉시,의료,종합병원,201708,WHITE,휴식,29000 ,1
3,독일,강원,강릉시,의료,종합병원,201802,WHITE,활동,948321 ,15
4,독일,강원,강릉시,교통,교통,201802,RED,활동,3186527 ,33
5,독일,강원,강릉시,의료,종합병원,201807,WHITE,활동,202185 ,2
6,독일,강원,속초시,쇼핑,기타지출,201609,WHITE,휴식,7000 ,2
7,독일,강원,춘천시,의료,종합병원,201711,WHITE,활동,121390 ,2
8,독일,강원,춘천시,의료,개인병원,201708,WHITE,활동,17620 ,1
9,독일,강원,춘천시,의료,약국,201706,WHITE,활동,2500 ,1
10,독일,강원,홍천군,의료,개인병원,201808,WHITE,활동,111500 ,1
11,독일,강원,강릉시,의료,약국,201806,WHITE,활동,14500 ,1
12,독일,강원,강릉시,의료,약국,201809,WHITE,활동,13000 ,1
13,독일,강원,삼척시,의료,약국,201802,WHITE,활동,12000 ,1
14,독일,강원,강릉시,의료,약국,201712,WHITE,활동,13800 ,1
15,독일,강원,강릉시,의료,약국,201801,WHITE,활동,29300 ,2
16,독일,강원,동해시,의료,약국,201812,WHITE,활동,4000 ,1
17,독일,강원,속초시,의료,약국,201701,RED,활동,3000 ,1
18,독일,강원,속초시,의료,약국,201804,WHITE,활동,9500 ,1
19,독일,강원,원주시,의료,약국,201803,WHITE,휴식,5000 ,1
20,독일,강원,원주시,의료,약국,201710,WHITE,활동,10000 ,1
21,독일,강원,춘천시,의료,약국,201802,WHITE,활동,61000 ,1
22,독일,강원,고성군,교통,교통,201702,RED,활동,58000 ,1
23,독일,강원,속초시,교통,교통,201610,RED,활동,103009 ,3
24,독일,강원,원주시,교통,교통,201604,RED,활동,63000 ,1
25,독일,강원,인제군,교통,교통,201709,RED,활동,70000 ,2
26,독일,강원,춘천시,교통,교통,201610,WHITE,활동,288727 ,8
27,독일,강원,강릉시,교통,교통,201805,WHITE,활동,338160 ,5
28,독일,강원,강릉시,교통,교통,201611,WHITE,취침,50000 ,1
29,독일,강원,삼척시,교통,교통,201704,WHITE,활동,84000 ,2
30,독일,강원,원주시,교통,교통,201711,RED,휴식,400000 ,1
31,독일,강원,원주시,교통,교통,201808,WHITE,휴식,9620 ,1
32,독일,강원,원주시,교통,교통,201809,WHITE,활동,13400 ,2
33,독일,강원,강릉시,교통,교통,201806,RED,활동,137920 ,4
34,독일,강원,강릉시,교통,교통,201609,WHITE,활동,44000 ,1
35,독일,강원,강릉시,교통,교통,201705,RED,휴식,50000 ,1
36,독일,강원,동해시,교통,교통,201704,WHITE,활동,40000 ,1
37,독일,강원,동해시,교통,교통,201806,RED,활동,193000 ,2
38,독일,강원,속초시,교통,교통,201607,WHITE,활동,270100 ,12
39,독일,강원,속초시,교통,교통,201704,RED,활동,283000 ,6
40,독일,강원,속초시,교통,교통,201609,WHITE,활동,560200 ,15
41,독일,강원,원주시,교통,교통,201711,WHITE,활동,4000 ,1
42,독일,강원,철원군,교통,교통,201711,WHITE,활동,59000 ,1
43,독일,강원,춘천시,교통,교통,201710,WHITE,활동,260000 ,4
44,독일,강원,평창군,교통,교통,201802,WHITE,휴식,1428586 ,21
45,독일,강원,평창군,교통,교통,201703,RED,활동,327000 ,4
46,독일,강원,평창군,교통,교통,201711,RED,활동,57000 ,1
47,독일,강원,횡성군,교통,교통,201803,RED,활동,30000 ,1
48,독일,강원,횡성군,교통,교통,201809,RED,취침,30000 ,1
49,독일,강원,고성군,숙박,그외숙박,201604,WHITE,활동,93000 ,2
50,독일,강원,삼척시,교통,교통,201602,WHITE,활동,58142 ,2
51,독일,강원,삼척시,숙박,그외숙박,201812,RED,활동,54800 ,1
52,독일,강원,속초시,교통,교통,201807,WHITE,휴식,13250 ,2
53,독일,강원,속초시,교통,교통,201707,WHITE,활동,313405 ,6
54,독일,강원,속초시,교통,교통,201709,RED,휴식,17800 ,2
55,독일,강원,양양군,숙박,그외숙박,201704,WHITE,활동,58800 ,1
56,독일,강원,양양군,숙박,그외숙박,201710,WHITE,활동,1327000 ,10
57,독일,강원,원주시,교통,교통,201803,RED,휴식,20000 ,1
58,독일,강원,원주시,교통,교통,201810,WHITE,활동,64000 ,1
59,독일,강원,인제군,교통,교통,201709,WHITE,활동,52000 ,1
60,독일,강원,정선군,교통,교통,201705,WHITE,활동,68000 ,1
61,독일,강원,정선군,교통,교통,201803,WHITE,활동,63000 ,1
62,독일,강원,춘천시,교통,교통,201704,WHITE,활동,63000 ,1
63,독일,강원,평창군,교통,교통,201610,RED,활동,91000 ,2
64,독일,강원,평창군,교통,교통,201805,WHITE,활동,81000 ,1
65,독일,강원,평창군,교통,교통,201704,WHITE,활동,63000 ,1
66,독일,강원,평창군,숙박,그외숙박,201702,RED,활동,2540050 ,6
67,독일,강원,평창군,숙박,그외숙박,201712,WHITE,활동,36556498 ,8
68,독일,강원,홍천군,숙박,그외숙박,201706,WHITE,활동,195000 ,5
69,독일,강원,횡성군,숙박,그외숙박,201601,RED,활동,77900 ,2
70,독일,강원,횡성군,숙박,그외숙박,201807,WHITE,활동,56000 ,1
71,독일,강원,횡성군,숙박,그외숙박,201702,WHITE,휴식,78150 ,2
72,독일,강원,고성군,숙박,그외숙박,201608,WHITE,활동,965300 ,2
73,독일,강원,고성군,쇼핑,관광여행사,201802,WHITE,활동,10000 ,2
74,독일,강원,고성군,쇼핑,관광여행사,201702,WHITE,활동,2224200 ,1
75,독일,강원,삼척시,숙박,그외숙박,201810,WHITE,휴식,116100 ,1
76,독일,강원,삼척시,숙박,그외숙박,201810,RED,취침,8400 ,1
77,독일,강원,삼척시,숙박,그외숙박,201804,RED,활동,19900 ,1
78,독일,강원,삼척시,쇼핑,관광여행사,201806,RED,활동,29000 ,1
79,독일,강원,속초시,숙박,그외숙박,201708,WHITE,활동,1694575 ,11
80,독일,강원,속초시,숙박,그외숙박,201806,RED,활동,576150 ,6
81,독일,강원,속초시,숙박,그외숙박,201702,RED,활동,130000 ,2
82,독일,강원,속초시,숙박,그외숙박,201809,WHITE,활동,2964102 ,29
83,독일,강원,속초시,쇼핑,관광여행사,201810,WHITE,휴식,762570 ,1
84,독일,강원,속초시,쇼핑,관광여행사,201605,RED,휴식,132518 ,1
85,독일,강원,속초시,쇼핑,관광여행사,201807,RED,활동,334440 ,1
86,독일,강원,평창군,숙박,그외숙박,201712,RED,활동,942000 ,2
87,독일,강원,평창군,숙박,그외숙박,201711,WHITE,휴식,5500 ,1
88,독일,강원,홍천군,숙박,그외숙박,201612,WHITE,활동,240300 ,3
89,독일,강원,동해시,쇼핑,할인점/편의점,201611,WHITE,휴식,59200 ,2
90,독일,강원,속초시,교통,교통,201809,RED,활동,50000 ,3
91,독일,강원,속초시,교통,교통,201705,RED,활동,40000 ,1
92,독일,강원,춘천시,교통,교통,201808,WHITE,활동,30000 ,1
93,독일,강원,강릉시,쇼핑,할인점/편의점,201802,WHITE,활동,20393940 ,765
94,독일,강원,삼척시,쇼핑,할인점/편의점,201708,RED,활동,127100 ,2
95,독일,강원,횡성군,쇼핑,할인점/편의점,201708,WHITE,활동,97550 ,4
96,독일,강원,속초시,쇼핑,할인점/편의점,201808,WHITE,휴식,254360 ,11
97,독일,강원,춘천시,쇼핑,할인점/편의점,201806,WHITE,활동,387170 ,70
98,독일,강원,춘천시,쇼핑,할인점/편의점,201705,WHITE,활동,226810 ,18
99,독일,강원,강릉시,쇼핑,기타쇼핑,201802,WHITE,휴식,645940 ,16
100,독일,강원,철원군,쇼핑,기타쇼핑,201810,RED,활동,5000 ,1
101,독일,강원,강릉시,쇼핑,할인점/편의점,201803,RED,휴식,149860 ,15
102,독일,강원,강릉시,쇼핑,할인점/편의점,201803,WHITE,휴식,714980 ,36
103,독일,강원,강릉시,쇼핑,할인점/편의점,201803,RED,활동,1127410 ,26
104,독일,강원,강릉시,쇼핑,할인점/편의점,201810,WHITE,휴식,279900 ,12
