,nation,sido,gu,GB3,GB2,TA_YM,DAW_CCD_R,APV_TS_DL_TM_R,VLM,USEC
1,러시아,강원,강릉시,의료,종합병원,201605,WHITE,활동,1206570 ,1
2,러시아,강원,강릉시,의료,종합병원,201606,WHITE,활동,175900 ,3
3,러시아,강원,강릉시,의료,종합병원,201703,WHITE,활동,2796880 ,5
4,러시아,강원,강릉시,의료,종합병원,201707,WHITE,활동,2015120 ,3
5,러시아,강원,강릉시,의료,종합병원,201801,WHITE,활동,1621295 ,9
6,러시아,강원,강릉시,의료,종합병원,201808,WHITE,휴식,255300 ,2
7,러시아,강원,강릉시,의료,종합병원,201809,WHITE,활동,306965 ,4
8,러시아,강원,강릉시,쇼핑,기타지출,201812,WHITE,활동,77000 ,1
9,러시아,강원,동해시,의료,종합병원,201609,WHITE,활동,58160 ,1
10,러시아,강원,속초시,의료,종합병원,201803,WHITE,활동,89000 ,1
11,러시아,강원,원주시,의료,종합병원,201605,WHITE,활동,190470 ,2
12,러시아,강원,원주시,의료,종합병원,201606,WHITE,활동,315960 ,12
13,러시아,강원,원주시,의료,종합병원,201612,WHITE,활동,1308810 ,2
14,러시아,강원,원주시,의료,종합병원,201703,WHITE,활동,2830 ,1
15,러시아,강원,원주시,의료,종합병원,201805,WHITE,활동,1970290 ,4
16,러시아,강원,정선군,의료,개인병원,201802,WHITE,활동,37880 ,1
17,러시아,강원,춘천시,의료,종합병원,201609,WHITE,활동,2950040 ,6
18,러시아,강원,평창군,쇼핑,기타지출,201701,WHITE,활동,8000 ,1
19,러시아,강원,평창군,쇼핑,기타지출,201710,WHITE,활동,308000 ,4
20,러시아,강원,평창군,쇼핑,기타지출,201801,RED,활동,1000000 ,3
21,러시아,강원,강릉시,의료,개인병원,201803,WHITE,활동,200000 ,1
22,러시아,강원,동해시,의료,개인병원,201802,WHITE,활동,10000 ,1
23,러시아,강원,정선군,의료,개인병원,201702,RED,활동,32250 ,1
24,러시아,강원,평창군,의료,개인병원,201806,WHITE,활동,7500 ,1
25,러시아,강원,고성군,의료,약국,201611,RED,활동,3000 ,1
26,러시아,강원,동해시,의료,약국,201701,WHITE,활동,5000 ,1
27,러시아,강원,원주시,의료,약국,201604,WHITE,활동,207700 ,8
28,러시아,강원,평창군,의료,개인병원,201712,WHITE,활동,2100 ,1
29,러시아,강원,강릉시,의료,약국,201803,WHITE,활동,22700 ,3
30,러시아,강원,강릉시,의료,약국,201604,WHITE,활동,9900 ,1
31,러시아,강원,강릉시,의료,약국,201712,RED,활동,13000 ,1
32,러시아,강원,강릉시,의료,약국,201808,WHITE,활동,111000 ,4
33,러시아,강원,삼척시,의료,약국,201812,RED,활동,14000 ,1
34,러시아,강원,속초시,의료,약국,201608,WHITE,활동,91000 ,4
35,러시아,강원,원주시,의료,약국,201805,WHITE,활동,128500 ,9
36,러시아,강원,원주시,의료,약국,201610,WHITE,활동,1077400 ,7
37,러시아,강원,원주시,의료,약국,201612,WHITE,활동,150000 ,1
38,러시아,강원,원주시,의료,약국,201802,RED,활동,3000 ,1
39,러시아,강원,원주시,의료,약국,201607,RED,활동,39500 ,1
40,러시아,강원,원주시,의료,약국,201701,WHITE,활동,104500 ,7
41,러시아,강원,강릉시,의료,약국,201809,WHITE,활동,94900 ,4
42,러시아,강원,강릉시,의료,약국,201701,RED,활동,9000 ,1
43,러시아,강원,강릉시,의료,약국,201811,WHITE,활동,3000 ,1
44,러시아,강원,속초시,의료,약국,201701,RED,활동,19600 ,1
45,러시아,강원,속초시,의료,약국,201806,WHITE,활동,3000 ,1
46,러시아,강원,속초시,의료,약국,201806,RED,활동,15400 ,1
47,러시아,강원,양구군,의료,약국,201608,RED,활동,12000 ,1
48,러시아,강원,원주시,의료,약국,201808,RED,휴식,800 ,1
49,러시아,강원,원주시,의료,약국,201812,WHITE,활동,39000 ,2
50,러시아,강원,원주시,의료,약국,201811,RED,휴식,33000 ,1
51,러시아,강원,원주시,의료,약국,201810,WHITE,활동,40000 ,1
52,러시아,강원,원주시,의료,약국,201702,WHITE,활동,55300 ,1
53,러시아,강원,철원군,의료,약국,201609,WHITE,활동,15480 ,2
54,러시아,강원,춘천시,의료,약국,201609,WHITE,활동,25500 ,1
55,러시아,강원,태백시,의료,약국,201712,WHITE,활동,4000 ,1
56,러시아,강원,평창군,의료,약국,201803,RED,휴식,21000 ,1
57,러시아,강원,평창군,의료,약국,201703,WHITE,활동,7000 ,2
58,러시아,강원,평창군,의료,약국,201801,RED,활동,2300 ,1
59,러시아,강원,평창군,의료,약국,201809,WHITE,활동,21000 ,2
60,러시아,강원,양구군,의료,약국,201812,WHITE,활동,15000 ,1
61,러시아,강원,원주시,의료,약국,201606,WHITE,휴식,7000 ,2
62,러시아,강원,원주시,의료,약국,201808,WHITE,휴식,7000 ,2
63,러시아,강원,강릉시,쇼핑,기타지출,201604,RED,활동,360000 ,1
64,러시아,강원,강릉시,교통,교통,201601,RED,활동,148000 ,3
65,러시아,강원,고성군,교통,교통,201601,WHITE,활동,55600 ,1
66,러시아,강원,삼척시,쇼핑,기타지출,201807,WHITE,활동,69000 ,1
67,러시아,강원,속초시,교통,교통,201708,WHITE,휴식,43900 ,5
68,러시아,강원,철원군,의료,약국,201805,WHITE,활동,343210 ,1
69,러시아,강원,평창군,의료,약국,201710,WHITE,활동,3500 ,1
70,러시아,강원,평창군,의료,약국,201711,RED,활동,5000 ,1
71,러시아,강원,평창군,의료,약국,201810,RED,활동,24500 ,1
72,러시아,강원,평창군,체험,피부미용,201612,RED,휴식,100000 ,1
73,러시아,강원,강릉시,교통,교통,201701,RED,활동,101000 ,2
74,러시아,강원,강릉시,교통,교통,201802,WHITE,휴식,833435 ,15
75,러시아,강원,강릉시,교통,교통,201610,WHITE,활동,61377 ,2
76,러시아,강원,강릉시,교통,교통,201702,RED,활동,28052 ,2
77,러시아,강원,강릉시,교통,교통,201708,WHITE,취침,4000 ,1
78,러시아,강원,강릉시,교통,교통,201610,RED,활동,54000 ,1
79,러시아,강원,동해시,교통,교통,201701,WHITE,휴식,20000 ,1
80,러시아,강원,삼척시,교통,교통,201704,WHITE,활동,159000 ,2
81,러시아,강원,속초시,교통,교통,201705,WHITE,활동,210000 ,11
82,러시아,강원,속초시,교통,교통,201711,RED,활동,46700 ,2
83,러시아,강원,양구군,교통,교통,201610,WHITE,활동,5400 ,4
84,러시아,강원,양구군,교통,교통,201710,RED,활동,21250 ,2
85,러시아,강원,원주시,교통,교통,201803,WHITE,활동,90000 ,1
86,러시아,강원,원주시,교통,교통,201607,WHITE,활동,68000 ,1
87,러시아,강원,원주시,교통,교통,201608,WHITE,활동,50000 ,1
88,러시아,강원,원주시,교통,교통,201805,WHITE,휴식,283500 ,3
89,러시아,강원,원주시,교통,교통,201806,RED,활동,182000 ,2
90,러시아,강원,동해시,교통,교통,201603,WHITE,활동,137000 ,1
91,러시아,강원,속초시,교통,교통,201802,WHITE,활동,146100 ,8
92,러시아,강원,양구군,교통,교통,201611,RED,활동,17080 ,2
93,러시아,강원,원주시,교통,교통,201812,RED,활동,74800 ,3
94,러시아,강원,정선군,교통,교통,201806,WHITE,활동,6500 ,2
95,러시아,강원,정선군,교통,교통,201707,WHITE,활동,4700 ,2
96,러시아,강원,평창군,교통,교통,201604,WHITE,활동,88000 ,2
97,러시아,강원,평창군,교통,교통,201611,WHITE,휴식,44000 ,1
98,러시아,강원,평창군,교통,교통,201606,WHITE,활동,130000 ,3
99,러시아,강원,평창군,교통,교통,201605,RED,활동,54000 ,1
100,러시아,강원,평창군,교통,교통,201803,WHITE,활동,1856000 ,3
101,러시아,강원,홍천군,교통,교통,201807,WHITE,활동,42049 ,1
