,nation,sido,gu,GB3,GB2,TA_YM,DAW_CCD_R,APV_TS_DL_TM_R,VLM,USEC
1,영국,강원,강릉시,의료,종합병원,201703,WHITE,휴식,381080 ,2
2,영국,강원,강릉시,의료,종합병원,201802,WHITE,활동,1392015 ,17
3,영국,강원,강릉시,교통,교통,201802,WHITE,활동,2366240 ,26
4,영국,강원,강릉시,쇼핑,기타지출,201805,WHITE,휴식,120000 ,1
5,영국,강원,강릉시,의료,종합병원,201811,WHITE,활동,33000 ,1
6,영국,강원,삼척시,의료,종합병원,201710,WHITE,활동,119300 ,1
7,영국,강원,속초시,교통,교통,201609,RED,활동,168000 ,1
8,영국,강원,속초시,의료,종합병원,201804,WHITE,활동,8500 ,1
9,영국,강원,원주시,의료,종합병원,201703,WHITE,활동,3279030 ,3
10,영국,강원,원주시,의료,종합병원,201803,WHITE,활동,237120 ,5
11,영국,강원,원주시,의료,종합병원,201809,WHITE,활동,73800 ,2
12,영국,강원,인제군,쇼핑,기타지출,201606,WHITE,활동,9500 ,1
13,영국,강원,인제군,쇼핑,기타지출,201809,WHITE,휴식,101300 ,2
14,영국,강원,정선군,의료,개인병원,201702,WHITE,활동,221190 ,1
15,영국,강원,춘천시,의료,종합병원,201606,WHITE,활동,547560 ,10
16,영국,강원,춘천시,의료,종합병원,201811,WHITE,활동,21000 ,1
17,영국,강원,태백시,교통,교통,201607,WHITE,활동,230800 ,2
18,영국,강원,평창군,교통,교통,201711,WHITE,활동,2290635 ,4
19,영국,강원,평창군,쇼핑,기타지출,201803,WHITE,휴식,240000 ,1
20,영국,강원,강릉시,의료,개인병원,201807,RED,활동,4200 ,1
21,영국,강원,원주시,의료,개인병원,201807,WHITE,활동,71600 ,2
22,영국,강원,춘천시,의료,개인병원,201708,WHITE,활동,289900 ,3
23,영국,강원,춘천시,의료,개인병원,201808,WHITE,활동,21900 ,2
24,영국,강원,평창군,의료,개인병원,201802,WHITE,활동,248050 ,5
25,영국,강원,속초시,의료,약국,201807,WHITE,활동,25400 ,3
26,영국,강원,강릉시,의료,약국,201811,WHITE,활동,11000 ,1
27,영국,강원,속초시,의료,약국,201610,WHITE,활동,13000 ,1
28,영국,강원,원주시,의료,약국,201610,WHITE,활동,19000 ,4
29,영국,강원,원주시,의료,약국,201709,WHITE,휴식,12000 ,2
30,영국,강원,원주시,의료,약국,201811,WHITE,활동,50000 ,1
31,영국,강원,원주시,의료,약국,201607,RED,활동,30000 ,3
32,영국,강원,강릉시,의료,약국,201702,WHITE,활동,4500 ,1
33,영국,강원,강릉시,의료,약국,201808,WHITE,활동,6000 ,1
34,영국,강원,속초시,의료,약국,201802,WHITE,휴식,16000 ,1
35,영국,강원,원주시,의료,약국,201603,WHITE,활동,16500 ,2
36,영국,강원,원주시,의료,약국,201806,RED,휴식,38000 ,1
37,영국,강원,원주시,의료,약국,201605,WHITE,휴식,6000 ,1
38,영국,강원,원주시,의료,약국,201702,WHITE,휴식,60000 ,1
39,영국,강원,원주시,의료,약국,201601,WHITE,휴식,45000 ,3
40,영국,강원,정선군,의료,약국,201701,RED,활동,32000 ,1
41,영국,강원,평창군,의료,약국,201801,WHITE,휴식,14000 ,3
42,영국,강원,평창군,의료,약국,201802,RED,활동,132500 ,7
43,영국,강원,화천군,의료,약국,201611,WHITE,활동,3000 ,1
44,영국,강원,강릉시,의료,약국,201803,RED,활동,12000 ,1
45,영국,강원,삼척시,의료,약국,201710,WHITE,활동,56800 ,1
46,영국,강원,속초시,의료,약국,201803,RED,활동,64400 ,1
47,영국,강원,원주시,의료,약국,201606,WHITE,휴식,4000 ,1
48,영국,강원,원주시,의료,약국,201801,WHITE,휴식,8000 ,1
49,영국,강원,원주시,의료,약국,201811,RED,활동,10000 ,1
50,영국,강원,강릉시,쇼핑,화장품,201703,RED,취침,280000 ,1
51,영국,강원,강릉시,교통,교통,201603,RED,활동,43628 ,1
52,영국,강원,원주시,쇼핑,기타지출,201811,RED,활동,1000000 ,1
53,영국,강원,춘천시,의료,약국,201810,WHITE,활동,18470 ,2
54,영국,강원,춘천시,의료,약국,201608,RED,활동,14400 ,1
55,영국,강원,평창군,체험,피부미용,201602,WHITE,활동,100000 ,1
56,영국,강원,평창군,체험,피부미용,201801,WHITE,활동,77000 ,1
57,영국,강원,강릉시,교통,교통,201805,RED,활동,15000 ,1
58,영국,강원,강릉시,교통,교통,201702,RED,활동,246211 ,4
59,영국,강원,강릉시,교통,교통,201803,RED,활동,243000 ,4
60,영국,강원,동해시,교통,교통,201804,WHITE,활동,102500 ,3
61,영국,강원,속초시,교통,교통,201802,RED,휴식,214000 ,2
62,영국,강원,속초시,교통,교통,201605,WHITE,활동,200000 ,6
63,영국,강원,양구군,교통,교통,201810,WHITE,활동,109890 ,1
64,영국,강원,원주시,교통,교통,201808,WHITE,활동,166300 ,4
65,영국,강원,원주시,교통,교통,201609,RED,활동,70000 ,1
66,영국,강원,원주시,교통,교통,201810,WHITE,활동,743843 ,7
67,영국,강원,고성군,교통,교통,201810,WHITE,활동,77000 ,1
68,영국,강원,원주시,교통,교통,201802,WHITE,취침,61000 ,2
69,영국,강원,원주시,교통,교통,201802,RED,취침,85000 ,1
70,영국,강원,인제군,교통,교통,201801,WHITE,휴식,100000 ,2
71,영국,강원,인제군,교통,교통,201705,WHITE,휴식,88000 ,1
72,영국,강원,인제군,교통,교통,201807,RED,휴식,30000 ,1
73,영국,강원,인제군,교통,교통,201703,WHITE,휴식,50000 ,1
74,영국,강원,정선군,교통,교통,201805,WHITE,활동,47000 ,2
75,영국,강원,철원군,교통,교통,201808,RED,활동,40000 ,1
76,영국,강원,춘천시,교통,교통,201807,WHITE,활동,50000 ,2
77,영국,강원,태백시,교통,교통,201702,WHITE,활동,61000 ,1
78,영국,강원,평창군,교통,교통,201803,WHITE,활동,1102800 ,20
79,영국,강원,평창군,교통,교통,201711,RED,활동,107000 ,1
80,영국,강원,평창군,교통,교통,201608,WHITE,활동,73000 ,1
81,영국,강원,평창군,교통,교통,201801,RED,휴식,140000 ,2
82,영국,강원,평창군,교통,교통,201708,WHITE,활동,26000 ,1
83,영국,강원,횡성군,교통,교통,201801,WHITE,활동,225000 ,5
84,영국,강원,횡성군,교통,교통,201801,WHITE,휴식,197140 ,2
85,영국,강원,횡성군,교통,교통,201607,WHITE,활동,50000 ,1
86,영국,강원,강릉시,교통,교통,201710,WHITE,활동,197999 ,2
87,영국,강원,강릉시,교통,교통,201805,WHITE,휴식,162000 ,3
88,영국,강원,강릉시,교통,교통,201803,WHITE,휴식,20000 ,1
89,영국,강원,고성군,숙박,그외숙박,201802,RED,휴식,594398 ,5
90,영국,강원,고성군,숙박,그외숙박,201712,WHITE,휴식,122213 ,1
91,영국,강원,고성군,숙박,그외숙박,201801,WHITE,취침,391997 ,4
92,영국,강원,고성군,숙박,그외숙박,201711,RED,취침,478913 ,3
93,영국,강원,속초시,교통,교통,201805,WHITE,활동,306300 ,14
94,영국,강원,속초시,교통,교통,201803,WHITE,활동,727150 ,6
95,영국,강원,속초시,교통,교통,201603,WHITE,휴식,8000 ,1
96,영국,강원,속초시,교통,교통,201804,WHITE,활동,321200 ,11
97,영국,강원,속초시,교통,교통,201610,WHITE,휴식,6400 ,3
98,영국,강원,속초시,교통,교통,201706,RED,활동,66200 ,4
99,영국,강원,속초시,교통,교통,201607,WHITE,휴식,4500 ,1
100,영국,강원,속초시,교통,교통,201703,WHITE,활동,56900 ,3
101,영국,강원,속초시,교통,교통,201705,WHITE,휴식,2000 ,1
102,영국,강원,속초시,숙박,그외숙박,201702,RED,활동,1787750 ,13
103,영국,강원,속초시,숙박,그외숙박,201802,WHITE,활동,15248143 ,13
104,영국,강원,속초시,숙박,그외숙박,201604,RED,활동,1760752 ,12
105,영국,강원,속초시,숙박,그외숙박,201612,RED,활동,665550 ,3
106,영국,강원,속초시,숙박,그외숙박,201708,RED,활동,26838000 ,9
107,영국,강원,양양군,숙박,그외숙박,201611,RED,활동,2486250 ,16
108,영국,강원,양양군,숙박,그외숙박,201603,RED,활동,1129000 ,6
109,영국,강원,양양군,숙박,그외숙박,201711,RED,활동,864876 ,6
110,영국,강원,양양군,숙박,그외숙박,201604,RED,활동,3504000 ,16
111,영국,강원,양양군,숙박,그외숙박,201704,RED,활동,2482850 ,13
112,영국,강원,양양군,숙박,그외숙박,201701,WHITE,휴식,2024808 ,9
113,영국,강원,양양군,숙박,그외숙박,201704,WHITE,휴식,1650700 ,6
114,영국,강원,양양군,숙박,그외숙박,201709,RED,취침,130900 ,1
115,영국,강원,양양군,숙박,그외숙박,201803,WHITE,휴식,385178 ,3
116,영국,강원,양양군,숙박,그외숙박,201801,RED,휴식,394188 ,2
117,영국,강원,양양군,숙박,그외숙박,201711,WHITE,취침,135000 ,1
118,영국,강원,양양군,숙박,그외숙박,201805,RED,활동,283900 ,2
119,영국,강원,양양군,숙박,그외숙박,201605,RED,휴식,1318000 ,7
120,영국,강원,양양군,숙박,그외숙박,201710,WHITE,활동,2234707 ,13
121,영국,강원,양양군,숙박,그외숙박,201810,WHITE,취침,933037 ,6
122,영국,강원,양양군,숙박,그외숙박,201805,RED,취침,551650 ,3
123,영국,강원,정선군,교통,교통,201607,RED,취침,47000 ,1
124,영국,강원,정선군,숙박,그외숙박,201610,RED,휴식,1875000 ,22
125,영국,강원,정선군,숙박,그외숙박,201605,WHITE,휴식,1190000 ,9
126,영국,강원,정선군,숙박,그외숙박,201612,WHITE,활동,427450 ,5
127,영국,강원,정선군,숙박,그외숙박,201612,RED,취침,1225000 ,8
128,영국,강원,정선군,숙박,그외숙박,201611,RED,취침,580000 ,7
129,영국,강원,정선군,숙박,그외숙박,201708,WHITE,취침,1935000 ,15
130,영국,강원,정선군,숙박,그외숙박,201703,RED,취침,390000 ,6
131,영국,강원,정선군,숙박,그외숙박,201805,WHITE,활동,2867138 ,10
132,영국,강원,정선군,숙박,그외숙박,201807,WHITE,활동,11245179 ,25
133,영국,강원,정선군,숙박,그외숙박,201601,WHITE,활동,160000 ,2
134,영국,강원,정선군,숙박,그외숙박,201610,RED,취침,725000 ,9
135,영국,강원,정선군,숙박,그외숙박,201601,WHITE,취침,270000 ,3
136,영국,강원,정선군,숙박,그외숙박,201608,RED,휴식,4068000 ,33
137,영국,강원,정선군,숙박,그외숙박,201707,RED,활동,2190000 ,13
138,영국,강원,정선군,숙박,그외숙박,201804,WHITE,휴식,871220 ,12
139,영국,강원,정선군,숙박,그외숙박,201803,WHITE,취침,1996000 ,7
140,영국,강원,정선군,숙박,그외숙박,201806,WHITE,취침,482320 ,3
141,영국,강원,정선군,숙박,그외숙박,201710,WHITE,휴식,3215400 ,30
142,영국,강원,정선군,숙박,그외숙박,201807,RED,휴식,6226641 ,49
143,영국,강원,정선군,숙박,그외숙박,201805,WHITE,취침,1398064 ,10
144,영국,강원,정선군,숙박,그외숙박,201806,WHITE,휴식,3578453 ,37
145,영국,강원,정선군,숙박,그외숙박,201803,RED,취침,1204350 ,17
146,영국,강원,춘천시,교통,교통,201809,RED,활동,53300 ,2
147,영국,강원,춘천시,교통,교통,201610,RED,활동,30000 ,1
148,영국,강원,춘천시,교통,교통,201802,RED,활동,31380 ,1
149,영국,강원,춘천시,교통,교통,201707,RED,활동,50000 ,1
150,영국,강원,춘천시,교통,교통,201710,WHITE,활동,47000 ,1
151,영국,강원,태백시,교통,교통,201802,WHITE,활동,65000 ,1
152,영국,강원,평창군,교통,교통,201702,WHITE,휴식,60000 ,1
153,영국,강원,평창군,교통,교통,201701,RED,활동,86000 ,1
154,영국,강원,평창군,숙박,그외숙박,201610,WHITE,활동,9575910 ,34
155,영국,강원,평창군,숙박,그외숙박,201702,RED,휴식,982311 ,3
156,영국,강원,평창군,숙박,그외숙박,201703,RED,휴식,99330 ,1
157,영국,강원,평창군,숙박,그외숙박,201802,WHITE,휴식,8631062 ,113
158,영국,강원,평창군,숙박,그외숙박,201608,RED,휴식,1340622 ,3
159,영국,강원,평창군,숙박,그외숙박,201706,RED,취침,510600 ,4
160,영국,강원,평창군,숙박,그외숙박,201710,WHITE,활동,14657047 ,21
161,영국,강원,평창군,숙박,그외숙박,201701,WHITE,취침,7964230 ,30
162,영국,강원,평창군,숙박,그외숙박,201812,WHITE,취침,34144757 ,104
163,영국,강원,평창군,숙박,그외숙박,201806,RED,활동,1307336 ,11
164,영국,강원,홍천군,교통,교통,201701,WHITE,활동,153433 ,2
165,영국,강원,홍천군,숙박,그외숙박,201708,RED,휴식,287500 ,2
166,영국,강원,홍천군,숙박,그외숙박,201608,RED,활동,2809000 ,16
167,영국,강원,홍천군,숙박,그외숙박,201608,RED,휴식,92000 ,1
168,영국,강원,홍천군,숙박,그외숙박,201709,WHITE,취침,194650 ,2
169,영국,강원,홍천군,숙박,그외숙박,201706,RED,활동,128200 ,5
170,영국,강원,홍천군,숙박,그외숙박,201809,RED,활동,215000 ,2
171,영국,강원,홍천군,숙박,그외숙박,201603,WHITE,취침,306000 ,2
172,영국,강원,홍천군,숙박,그외숙박,201704,RED,활동,1922800 ,13
173,영국,강원,홍천군,숙박,그외숙박,201608,WHITE,취침,1208000 ,5
