Áö¿ª,±³Åë_ÃÑ±Ý¾×,±³Åë_ÃÑÈ½¼ö,¼îÇÎ_ÃÑ±Ý¾×,¼îÇÎ_ÃÑÈ½¼ö,ÀÇ·á_ÃÑ±Ý¾×,ÀÇ·á_ÃÑÈ½¼ö,¼÷¹Ú_ÃÑ±Ý¾×,¼÷¹Ú_ÃÑÈ½¼ö,Ã¼Çè_ÃÑ±Ý¾×,Ã¼Çè_ÃÑÈ½¼ö,½ºÆ÷Ã÷_ÃÑ±Ý¾×,½ºÆ÷Ã÷_ÃÑÈ½¼ö,¿©°¡_ÃÑ±Ý¾×,¿©°¡_ÃÑÈ½¼ö,ÆòÀÏ,ÁÖ¸»,È°µ¿,ÈÞ½Ä,ÃëÄ§
¼­ÃÊ±¸,284373184,5073,2106646501,44575,824950747,1922,4734200613,10914,15507650,323,9196800,110,2131350951,45008,1560,1289,1249,1086,514
Áß±¸,3523122241,40289,8044455361,117030,146577440,909,54954884975,150323,25215600,598,5043700,83,8074714661,117711,1744,1516,1440,1236,584
¸¶Æ÷±¸,8607304,143,2568365141,83724,46923350,1091,3398284647,10911,31840169,1388,23524660,225,2623729970,85337,1499,1315,1365,1022,427
°­µ¿±¸,5176839,62,43088950,1205,38287640,201,7657800,42,488000,40,1160500,143,44737450,1388,506,300,509,255,42
¿ë»ê±¸,906676751,3032,1877867332,53432,214660680,1432,7082025423,15768,20353978,361,10022470,167,1908243780,53960,1736,1414,1477,1090,583
±¤Áø±¸,4229815,42,239496097,10261,32612106,361,889075156,2425,1400800,91,776600,41,241673497,10393,858,645,812,532,159
±ÝÃµ±¸,17461295,729,135551985,2031,1817500,28,451037188,1326,154500,30,110100,5,135816585,2066,582,410,555,378,59
µ¿ÀÛ±¸,2605550,39,135547040,11829,50001320,369,59533461,226,1109000,131,194800,14,136850840,11974,757,568,675,494,156
Á¾·Î±¸,81143826,260,2291227365,50225,110864440,948,7961791554,18520,7032600,321,2140850,96,2300400815,50642,1576,1380,1434,1101,421
ÀºÆò±¸,3892410,45,98145086,2004,10136530,126,1887800,13,338750,36,354000,10,98837836,2050,542,326,470,308,90
¿µµîÆ÷±¸,11692796,320,1708130307,26296,57928380,366,6531080759,14624,2882900,82,1067100,68,1712080307,26446,1348,1039,1134,880,373
³ë¿ø±¸,1733091,16,86850250,3972,8994690,126,14388177,180,990000,57,394900,18,88235150,4047,550,364,515,319,80
¼ººÏ±¸,3473537,57,161079430,11386,43654920,479,237954898,986,1433450,199,1780700,45,164293580,11630,885,606,813,510,168
¾çÃµ±¸,6810841,56,82318112,3022,14135280,122,170000,4,821910,25,455000,9,83595022,3056,552,411,513,349,101
¼ºµ¿±¸,425177997,1703,352010460,12642,39666730,446,141974279,793,1743100,120,784400,23,354537960,12785,793,582,733,498,144
¼ÛÆÄ±¸,8256249,78,1393823631,31437,98406575,569,2047886137,9248,17976335,353,2526870,111,1414326836,31901,1247,977,1186,812,226
¼­´ë¹®±¸,9175206,114,978528177,41376,314146529,1863,1826411918,13966,5591100,530,2318530,129,986437807,42035,1294,1085,1136,848,395
°ü¾Ç±¸,3729263,39,235403079,18220,28802200,542,42636356,75,1033000,84,2958000,29,239394079,18333,869,565,749,526,159
µµºÀ±¸,2637355,35,17591220,687,2948120,42,1562000,13,177500,7,169600,4,17938320,698,286,166,263,174,15
°­³²±¸,419925235,3391,5228405739,93692,1750348380,3262,25191384983,64072,66949310,1284,8959280,210,5304314329,95186,2042,1682,1683,1369,672
±¸·Î±¸,1368868479,14462,8145664865,57654,9970880,134,1559910530,4716,1221590,33,772300,16,8147658755,57703,874,728,778,578,246
°­¼­±¸,11543024863,56820,420689698,7965,15748150,201,1164150164,5354,1403900,29,225700,8,422319298,8002,1154,864,1000,721,297
Áß¶û±¸,922641,21,42622299,815,3914240,92,721500,5,193700,8,24000,1,42839999,824,343,189,318,190,24
°­ºÏ±¸,1545516,17,30563330,928,5869990,64,995976,10,826400,74,15000,1,31404730,1003,432,254,391,255,40
µ¿´ë¹®±¸,10817265,43,233354537,15109,47423730,496,1168769634,5857,1830100,213,178275,11,235362912,15333,837,602,801,491,147
