,nation,sido,gu,GB3,GB2,TA_YM,DAW_CCD_R,APV_TS_DL_TM_R,VLM,USEC
1,카자흐스탄,강원,강릉시,의료,종합병원,201607,WHITE,활동,3630575 ,9
2,카자흐스탄,강원,강릉시,의료,종합병원,201610,WHITE,활동,136320 ,2
3,카자흐스탄,강원,강릉시,의료,종합병원,201703,WHITE,활동,8100 ,1
4,카자흐스탄,강원,강릉시,의료,종합병원,201709,RED,활동,3150 ,1
5,카자흐스탄,강원,강릉시,의료,종합병원,201811,WHITE,활동,597800 ,5
6,카자흐스탄,강원,원주시,의료,개인병원,201701,WHITE,활동,15000 ,1
7,카자흐스탄,강원,원주시,의료,약국,201806,RED,활동,67000 ,1
8,카자흐스탄,강원,속초시,의료,약국,201806,WHITE,활동,14800 ,2
9,카자흐스탄,강원,원주시,의료,약국,201803,WHITE,활동,9000 ,1
10,카자흐스탄,강원,원주시,의료,약국,201809,WHITE,휴식,69200 ,2
11,카자흐스탄,강원,원주시,의료,약국,201711,WHITE,활동,5000 ,1
12,카자흐스탄,강원,원주시,의료,약국,201801,WHITE,활동,33000 ,1
13,카자흐스탄,강원,강릉시,의료,약국,201602,WHITE,활동,13000 ,1
14,카자흐스탄,강원,고성군,의료,약국,201807,WHITE,휴식,6000 ,1
15,카자흐스탄,강원,속초시,의료,약국,201801,RED,활동,14500 ,1
16,카자흐스탄,강원,원주시,교통,교통,201802,WHITE,활동,730850 ,1
17,카자흐스탄,강원,원주시,교통,교통,201810,WHITE,활동,2400 ,1
18,카자흐스탄,강원,홍천군,교통,교통,201612,WHITE,활동,24000 ,1
19,카자흐스탄,강원,강릉시,쇼핑,할인점/편의점,201706,RED,활동,88720 ,15
20,카자흐스탄,강원,속초시,교통,교통,201703,RED,활동,32000 ,1
21,카자흐스탄,강원,속초시,교통,교통,201608,WHITE,활동,58000 ,1
22,카자흐스탄,강원,강릉시,쇼핑,할인점/편의점,201803,RED,휴식,110350 ,7
23,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201806,WHITE,활동,441030 ,95
24,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201808,WHITE,활동,464260 ,115
25,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201805,WHITE,휴식,36970 ,4
26,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201808,WHITE,휴식,530150 ,121
27,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201710,WHITE,활동,15500 ,3
28,카자흐스탄,강원,평창군,쇼핑,할인점/편의점,201705,RED,활동,126730 ,2
29,카자흐스탄,강원,삼척시,쇼핑,할인점/편의점,201804,WHITE,활동,27090 ,2
30,카자흐스탄,강원,강릉시,음식,한식외,201701,RED,활동,58200 ,5
31,카자흐스탄,강원,속초시,음식,한식외,201808,WHITE,활동,89300 ,14
32,카자흐스탄,강원,원주시,음식,한식외,201809,WHITE,활동,19500 ,3
33,카자흐스탄,강원,정선군,음식,한식외,201801,WHITE,활동,21300 ,3
34,카자흐스탄,강원,춘천시,음식,한식외,201611,RED,휴식,18000 ,1
35,카자흐스탄,강원,강릉시,음식,한식외,201712,RED,활동,26000 ,4
36,카자흐스탄,강원,속초시,음식,한식외,201808,RED,활동,39800 ,6
37,카자흐스탄,강원,원주시,음식,한식외,201812,RED,활동,6500 ,1
38,카자흐스탄,강원,강릉시,쇼핑,관광상품,201607,WHITE,활동,15000 ,1
39,카자흐스탄,강원,속초시,쇼핑,관광상품,201710,WHITE,활동,4500 ,1
40,카자흐스탄,강원,속초시,스포츠,종합레저타운/놀이동?201806,WHITE,활동,2500,1 ,NA
41,카자흐스탄,강원,횡성군,쇼핑,할인점/편의점,201612,WHITE,활동,12900 ,3
42,카자흐스탄,강원,원주시,쇼핑,할인점/편의점,201603,RED,휴식,15820 ,3
43,카자흐스탄,강원,원주시,쇼핑,할인점/편의점,201605,WHITE,휴식,135190 ,31
44,카자흐스탄,강원,평창군,숙박,특급호텔,201602,WHITE,휴식,27000 ,1
45,카자흐스탄,강원,원주시,쇼핑,할인점/편의점,201705,WHITE,활동,65180 ,28
46,카자흐스탄,강원,강릉시,쇼핑,할인점/편의점,201707,WHITE,활동,3100 ,3
47,카자흐스탄,강원,원주시,쇼핑,할인점/편의점,201705,WHITE,휴식,19830 ,10
48,카자흐스탄,강원,원주시,음식,한식,201604,WHITE,활동,108000 ,6
49,카자흐스탄,강원,원주시,쇼핑,할인점/편의점,201707,RED,활동,53250 ,18
50,카자흐스탄,강원,강릉시,쇼핑,할인점/편의점,201706,WHITE,휴식,42250 ,12
51,카자흐스탄,강원,강릉시,체험,"이용,미용",201706,RED,활동,12000 ,1
52,카자흐스탄,강원,고성군,음식,한식,201705,RED,휴식,28000 ,1
53,카자흐스탄,강원,원주시,쇼핑,할인점/편의점,201705,RED,활동,13590 ,7
54,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201808,RED,취침,42500 ,11
55,카자흐스탄,강원,강릉시,쇼핑,할인점/편의점,201809,RED,활동,150430 ,12
56,카자흐스탄,강원,강릉시,음식,한식,201802,WHITE,취침,35000 ,1
57,카자흐스탄,강원,강릉시,쇼핑,할인점/편의점,201801,WHITE,휴식,28300 ,4
58,카자흐스탄,강원,양양군,음식,한식,201802,WHITE,휴식,153000 ,1
59,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201809,WHITE,활동,2600 ,1
60,카자흐스탄,강원,평창군,쇼핑,할인점/편의점,201808,WHITE,휴식,19300 ,4
61,카자흐스탄,강원,홍천군,쇼핑,할인점/편의점,201809,WHITE,휴식,8100 ,2
62,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201801,WHITE,활동,43800 ,6
63,카자흐스탄,강원,원주시,음식,한식,201607,WHITE,휴식,39000 ,1
64,카자흐스탄,강원,횡성군,음식,한식,201612,RED,활동,13500 ,1
65,카자흐스탄,강원,강릉시,음식,한식,201612,WHITE,휴식,6000 ,1
66,카자흐스탄,강원,강릉시,음식,한식,201607,WHITE,활동,36700 ,4
67,카자흐스탄,강원,강릉시,쇼핑,할인점/편의점,201705,RED,활동,374200 ,6
68,카자흐스탄,강원,고성군,쇼핑,할인점/편의점,201709,WHITE,휴식,28400 ,2
69,카자흐스탄,강원,고성군,쇼핑,기타쇼핑,201710,RED,활동,43400 ,3
70,카자흐스탄,강원,원주시,음식,한식,201711,RED,휴식,600 ,1
71,카자흐스탄,강원,원주시,쇼핑,할인점/편의점,201701,RED,휴식,2400 ,1
72,카자흐스탄,강원,속초시,쇼핑,할인점/편의점,201803,RED,활동,130790 ,8
73,카자흐스탄,강원,춘천시,쇼핑,할인점/편의점,201709,RED,활동,261900 ,5
74,카자흐스탄,강원,강릉시,쇼핑,할인점/편의점,201802,WHITE,취침,120400 ,6
75,카자흐스탄,강원,원주시,쇼핑,할인점/편의점,201809,WHITE,활동,59670 ,7
76,카자흐스탄,강원,평창군,음식,한식,201802,RED,활동,129000 ,8
77,카자흐스탄,강원,평창군,쇼핑,할인점/편의점,201812,WHITE,활동,74340 ,7
78,카자흐스탄,강원,평창군,음식,한식,201803,RED,휴식,25000 ,1
79,카자흐스탄,강원,평창군,쇼핑,기타쇼핑,201803,WHITE,활동,24500 ,2
80,카자흐스탄,강원,강릉시,쇼핑,기타쇼핑,201802,RED,활동,109600 ,2
81,카자흐스탄,강원,강릉시,음식,한식,201603,WHITE,활동,138000 ,4
82,카자흐스탄,강원,동해시,쇼핑,할인점/편의점,201803,WHITE,활동,2300 ,1
83,카자흐스탄,강원,속초시,쇼핑,기타쇼핑,201806,WHITE,활동,2900 ,1
84,카자흐스탄,강원,춘천시,쇼핑,할인점/편의점,201710,WHITE,활동,10700 ,4
85,카자흐스탄,강원,강릉시,음식,한식,201603,RED,활동,6000 ,1
86,카자흐스탄,강원,속초시,쇼핑,할인점/편의점,201708,WHITE,휴식,771330 ,4
87,카자흐스탄,강원,평창군,쇼핑,할인점/편의점,201702,RED,휴식,80350 ,9
88,카자흐스탄,강원,평창군,쇼핑,할인점/편의점,201711,RED,활동,6000 ,1
