Áö¿ª,±³Åë_ÃÑ±Ý¾×,±³Åë_ÃÑÈ½¼ö,¼îÇÎ_ÃÑ±Ý¾×,¼îÇÎ_ÃÑÈ½¼ö,ÀÇ·á_ÃÑ±Ý¾×,ÀÇ·á_ÃÑÈ½¼ö,¼÷¹Ú_ÃÑ±Ý¾×,¼÷¹Ú_ÃÑÈ½¼ö,Ã¼Çè_ÃÑ±Ý¾×,Ã¼Çè_ÃÑÈ½¼ö,½ºÆ÷Ã÷_ÃÑ±Ý¾×,½ºÆ÷Ã÷_ÃÑÈ½¼ö,¿©°¡_ÃÑ±Ý¾×,¿©°¡_ÃÑÈ½¼ö,ÆòÀÏ,ÁÖ¸»,È°µ¿,ÈÞ½Ä,ÃëÄ§
¼­ÃÊ±¸,7635370,313,219254015,2680,1181148992,723,202311565,371,450500,16,655000,7,220359515,2703,364,271,332,236,67
Áß±¸,90607690,1041,2131854833,19386,1608729300,1832,1075101289,2603,580600,23,274500,3,2132709933,19412,458,429,448,342,97
¸¶Æ÷±¸,36800,2,110239271,3706,53436750,84,44458376,144,499850,47,4428400,6,115167521,3759,303,253,270,204,82
°­µ¿±¸,900000,1,9857120,321,276191900,428,735000,8,11500,2,528000,12,10396620,335,112,54,110,55,1
¿ë»ê±¸,7710765,31,111291037,2711,761995800,894,51988686,133,880650,19,0,0,112171687,2730,321,254,301,210,64
±¤Áø±¸,191000,2,321680485,7559,668550150,1022,8689256,17,550900,74,63200,6,322294585,7639,287,212,259,188,52
µ¿ÀÛ±¸,175000,2,20343490,852,1379121670,1244,2965000,7,15000,1,24000,2,20382490,855,156,111,178,82,7
±ÝÃµ±¸,140620,5,107074620,4481,4368800,125,3495422,117,0,0,0,0,107074620,4481,171,133,169,127,8
Á¾·Î±¸,61000,3,151018963,4050,718591290,893,207649255,379,360000,19,60500,3,151439463,4072,369,280,362,230,57
ÀºÆò±¸,115920,3,3246020,64,342400,5,0,0,48000,7,7000,1,3301020,72,34,27,33,23,5
¿µµîÆ÷±¸,343462,13,60769209,1498,14531220,58,59469564,213,478600,9,203600,5,61451409,1512,262,194,255,169,32
³ë¿ø±¸,15000,1,5565240,845,9978240,24,335000,5,32000,3,4000,1,5601240,849,97,71,81,82,5
¼ººÏ±¸,968660,6,59482800,9568,643926780,763,8063291,37,401100,66,0,0,59883900,9634,272,180,249,150,53
¾çÃµ±¸,10000,2,5942890,289,140798760,110,0,0,0,0,0,0,5942890,289,104,49,98,47,8
¼ºµ¿±¸,0,0,82265720,2693,1096488010,1421,10943845,31,20600,3,16000,1,82302320,2697,209,120,208,103,18
¼ÛÆÄ±¸,214000,3,2056248887,10547,1245465451,1299,364216169,1723,12885500,218,52900,6,2069187287,10771,367,231,365,215,18
¼­´ë¹®±¸,71000,2,148727690,4613,4472789874,4213,14069154,51,120200,19,36000,3,148883890,4635,320,243,311,213,39
°ü¾Ç±¸,699000,20,14275220,1103,14312050,42,3156600,11,21500,5,0,0,14296720,1108,159,94,134,106,13
µµºÀ±¸,0,0,768710,26,48500,3,0,0,0,0,0,0,768710,26,19,12,22,9,0
°­³²±¸,2582600,49,1578108241,14535,6757014854,6085,477428474,908,7445700,190,1647200,32,1587201141,14757,482,378,431,331,98
±¸·Î±¸,13139900,447,55783143,971,12152830,60,4547001,16,92000,3,0,0,55875143,974,168,116,170,87,27
°­¼­±¸,260500691,559,45444605,649,193929440,215,24633928,57,0,0,17300,1,45461905,650,216,112,207,110,11
Áß¶û±¸,0,0,3873280,84,5132400,39,0,0,22000,2,0,0,3895280,86,53,15,38,29,1
°­ºÏ±¸,0,0,6274030,134,153200,3,1026707,1,46900,4,0,0,6320930,138,76,36,61,46,5
µ¿´ë¹®±¸,60000,1,52997910,3996,220614875,299,11812587,59,65700,14,0,0,53063610,4010,230,175,226,147,32
