Áö¿ª,±³Åë_ÃÑ±Ý¾×,±³Åë_ÃÑÈ½¼ö,¼îÇÎ_ÃÑ±Ý¾×,¼îÇÎ_ÃÑÈ½¼ö,ÀÇ·á_ÃÑ±Ý¾×,ÀÇ·á_ÃÑÈ½¼ö,¼÷¹Ú_ÃÑ±Ý¾×,¼÷¹Ú_ÃÑÈ½¼ö,Ã¼Çè_ÃÑ±Ý¾×,Ã¼Çè_ÃÑÈ½¼ö,½ºÆ÷Ã÷_ÃÑ±Ý¾×,½ºÆ÷Ã÷_ÃÑÈ½¼ö,¿©°¡_ÃÑ±Ý¾×,¿©°¡_ÃÑÈ½¼ö,ÆòÀÏ,ÁÖ¸»,È°µ¿,ÈÞ½Ä,ÃëÄ§
µ¿ÀÛ±¸,727664,9,10219380,173,13924990,56,262000,2,232000,4,0,0,10451380,177,133,59,113,70,9
³ë¿ø±¸,98584,2,15348660,209,7442450,51,0,0,129000,2,0,0,15477660,211,107,44,89,55,7
Áß±¸,408801376,4279,5300948348,39773,107490400,595,3107253512,6135,4985600,67,933400,21,5306867348,39861,599,451,476,398,176
¼­ÃÊ±¸,35638828,371,724782375,6134,649383440,917,580283337,815,7783600,90,5230500,31,737796475,6255,477,385,391,342,129
¼­´ë¹®±¸,2596566,41,97360902,1757,209427790,613,64438995,108,122000,5,517500,15,98000402,1777,306,217,271,198,54
¼ÛÆÄ±¸,7374933,49,870576539,6212,189461678,438,458920846,2187,15036200,133,412900,18,886025639,6363,386,298,366,265,53
¼ººÏ±¸,4781638,57,80610340,996,81934680,213,17896722,29,276800,16,71000,6,80958140,1018,219,148,203,140,24
°­³²±¸,65705148,465,3551268399,22106,2634636037,2603,2340682470,3425,24450400,259,2851000,36,3578569799,22401,621,477,516,438,144
µµºÀ±¸,182000,3,9495750,83,984630,13,0,0,0,0,0,0,9495750,83,52,24,50,24,2
±¸·Î±¸,150892330,1208,221854952,2322,8178280,64,51345162,118,640000,4,0,0,222494952,2326,248,151,210,145,44
¾çÃµ±¸,393945,8,18771975,327,29379290,106,0,0,66600,7,12000,1,18850575,335,148,67,133,67,15
¼ºµ¿±¸,7111973,36,51794905,734,58114880,84,4437021,26,8000,2,76800,3,51879705,739,175,114,179,99,11
±¤Áø±¸,2950000,39,157425240,1706,16186030,81,27680162,36,704000,6,27000,3,158156240,1715,221,152,199,161,13
Á¾·Î±¸,108959300,203,657268599,5936,124963080,417,1637754321,1316,2164800,29,32000,1,659465399,5966,451,398,420,342,87
±ÝÃµ±¸,782480,77,61038340,475,823740,14,5094908,36,37000,1,70000,1,61145340,477,148,66,135,74,5
°­¼­±¸,279491306,988,86628122,1264,11400320,103,42915011,100,217800,3,0,0,86845922,1267,300,198,278,179,41
°ü¾Ç±¸,381428,6,15838680,339,3293030,64,790000,7,1330500,10,0,0,17169180,349,168,107,152,117,6
¿ë»ê±¸,178637224,301,666230160,7470,74133120,217,457584140,1372,2118500,24,2014000,32,670362660,7526,478,382,421,337,102
ÀºÆò±¸,6093529,18,26002960,218,4696000,51,60000,1,0,0,0,0,26002960,218,122,57,113,61,5
¸¶Æ÷±¸,801200,18,296889674,3641,34095560,201,123104707,299,3103700,48,654500,6,300647874,3695,368,270,324,247,67
Áß¶û±¸,416000,4,14335816,163,145675780,39,0,0,135800,5,0,0,14471616,168,90,43,93,38,2
µ¿´ë¹®±¸,2092863,20,34725380,477,19602270,69,5449280,41,241800,4,0,0,34967180,481,164,108,143,119,10
°­ºÏ±¸,254000,3,8859090,127,532500,10,85000,1,453000,5,64500,1,9376590,133,83,45,73,47,8
°­µ¿±¸,1796920,20,16772551,213,8816560,131,2095400,5,258000,3,219500,13,17250051,229,146,82,166,58,4
¿µµîÆ÷±¸,6380330,61,302228142,3614,27887340,180,559442238,840,91000,6,208000,7,302527142,3627,369,286,352,258,45
