Áö¿ª,±³Åë_ÃÑ±Ý¾×,±³Åë_ÃÑÈ½¼ö,¼îÇÎ_ÃÑ±Ý¾×,¼îÇÎ_ÃÑÈ½¼ö,ÀÇ·á_ÃÑ±Ý¾×,ÀÇ·á_ÃÑÈ½¼ö,¼÷¹Ú_ÃÑ±Ý¾×,¼÷¹Ú_ÃÑÈ½¼ö,Ã¼Çè_ÃÑ±Ý¾×,Ã¼Çè_ÃÑÈ½¼ö,½ºÆ÷Ã÷_ÃÑ±Ý¾×,½ºÆ÷Ã÷_ÃÑÈ½¼ö,¿©°¡_ÃÑ±Ý¾×,¿©°¡_ÃÑÈ½¼ö,ÆòÀÏ,ÁÖ¸»,È°µ¿,ÈÞ½Ä,ÃëÄ§
µ¿ÀÛ±¸,343868,8,44810220,1526,18669260,184,5895580,27,1253600,116,238900,15,46302720,1657,270,184,232,172,50
³ë¿ø±¸,550071,16,68790890,1155,19033740,141,460000,12,721100,28,350700,17,69862690,1200,231,173,226,142,36
Áß±¸,2593034539,13090,7063153604,85355,136915060,751,5305690262,14549,20541300,405,2772500,40,7086467404,85800,676,556,568,433,231
¼­ÃÊ±¸,72273693,1743,984745811,17521,1289436245,1476,724933697,1568,11746880,251,2851900,52,999344591,17824,583,446,484,387,158
¼­´ë¹®±¸,2789501,26,453377539,9479,98957980,454,161071787,420,1605500,160,1031440,67,456014479,9706,442,338,389,294,97
¼ÛÆÄ±¸,2988224,46,1489226996,29338,87356437,458,360492130,4003,9358900,262,1038000,51,1499623896,29651,536,369,446,347,112
¼ººÏ±¸,4392508,41,71053253,2157,25275130,177,21458048,102,581200,74,101200,5,71735653,2236,313,199,282,175,55
°­³²±¸,80784131,1212,6592135385,65787,4295921845,4541,5202411570,9803,38568694,637,8302400,139,6639006479,66563,742,586,617,470,241
µµºÀ±¸,1574446,22,13892110,377,3829900,43,0,0,753000,71,40200,2,14685310,450,147,110,133,100,24
±¸·Î±¸,261011030,5785,1758408365,19890,12602500,98,206126531,464,811400,68,561500,23,1759781265,19981,374,260,305,225,104
¾çÃµ±¸,1259036,22,85614416,2925,26369070,135,80000,2,810077,34,175400,10,86599893,2969,259,181,225,165,50
¼ºµ¿±¸,81310325,437,178515643,3322,27155420,199,5792929,37,1674600,34,148500,6,180338743,3362,288,187,271,168,36
±¤Áø±¸,824000,15,158901132,3066,39874500,202,126735657,305,3958700,90,468700,27,163328532,3183,341,252,307,212,74
Á¾·Î±¸,65566540,73,1130248746,16877,84150120,551,1189220717,2412,2719600,92,940600,22,1133908946,16991,547,472,508,358,153
±ÝÃµ±¸,3027889,310,175368757,1175,4877920,43,33983741,103,106500,14,72800,5,175548057,1194,219,160,214,144,21
°­¼­±¸,2819065573,9170,198184806,2705,25269110,202,112543034,348,1197560,85,365900,22,199748266,2812,430,335,393,266,106
°ü¾Ç±¸,2139802,19,86677593,3639,17537256,246,4302000,39,1642000,54,451000,12,88770593,3705,333,250,271,224,88
¿ë»ê±¸,123372024,420,771829690,14484,72243570,430,1608174067,2996,8298630,142,1888500,40,782016820,14666,600,498,513,405,180
ÀºÆò±¸,440016,9,74588640,1140,22583300,173,558000,11,585400,43,164000,3,75338040,1186,226,156,214,138,30
¸¶Æ÷±¸,5904740,54,1337655782,24349,48940242,487,260089995,993,8968800,378,3520500,96,1350145082,24823,525,424,451,350,148
Áß¶û±¸,1049920,12,23449620,601,5751270,86,977000,14,532200,22,125500,9,24107320,632,196,128,180,105,39
µ¿´ë¹®±¸,3796875,29,103339717,1959,39428550,237,19345192,77,698500,74,111400,6,104149617,2039,311,206,298,173,46
°­ºÏ±¸,1143550,11,43071800,628,5233870,61,1866092,23,1183100,46,229200,10,44484100,684,222,160,198,150,34
°­µ¿±¸,3207812,48,59823430,1220,98452780,296,4471000,46,1052400,66,475500,33,61351330,1319,291,205,265,182,49
¿µµîÆ÷±¸,4703962,146,646638833,11725,45076130,340,1377280216,2892,1709550,92,521700,12,648870083,11829,525,364,435,320,134
