Áö¿ª,±³Åë_ÃÑ±Ý¾×,±³Åë_ÃÑÈ½¼ö,¼îÇÎ_ÃÑ±Ý¾×,¼îÇÎ_ÃÑÈ½¼ö,ÀÇ·á_ÃÑ±Ý¾×,ÀÇ·á_ÃÑÈ½¼ö,¼÷¹Ú_ÃÑ±Ý¾×,¼÷¹Ú_ÃÑÈ½¼ö,Ã¼Çè_ÃÑ±Ý¾×,Ã¼Çè_ÃÑÈ½¼ö,½ºÆ÷Ã÷_ÃÑ±Ý¾×,½ºÆ÷Ã÷_ÃÑÈ½¼ö,¿©°¡_ÃÑ±Ý¾×,¿©°¡_ÃÑÈ½¼ö,ÆòÀÏ,ÁÖ¸»,È°µ¿,ÈÞ½Ä,ÃëÄ§
µ¿ÀÛ±¸,125000,5,62374620,7489,16881940,156,2628992,25,816400,108,49800,3,63240820,7600,272,213,235,170,80
³ë¿ø±¸,231600,4,27431920,1532,3324380,23,116000,2,162400,20,178300,7,27772620,1559,176,103,155,101,23
Áß±¸,1017791889,12499,2265494580,38972,15428860,239,3085261897,8881,9384400,209,2299000,30,2277177980,39211,587,515,514,415,173
¼­ÃÊ±¸,69316004,2146,420471361,12802,241809885,841,704629672,1546,3595950,72,4050950,32,428118261,12906,497,405,400,336,166
¼­´ë¹®±¸,2432757,24,240487689,17763,130844340,813,71428702,246,3089400,318,532780,46,244109869,18127,422,373,383,282,130
¼ÛÆÄ±¸,501604,5,315836083,7853,24326134,142,234450632,2236,2803900,72,1312900,38,319952883,7963,398,279,364,250,63
¼ººÏ±¸,1127200,15,49262670,4258,9003690,142,28118898,124,440600,53,1162200,24,50865470,4335,292,203,274,161,60
°­³²±¸,79556646,847,1742335984,33341,270032893,832,3756489369,12616,26143950,517,2768400,61,1771248334,33919,660,574,557,467,210
µµºÀ±¸,379756,6,5622950,232,464350,12,0,0,6000,2,8100,3,5637050,237,97,56,84,61,8
±¸·Î±¸,157501857,2343,665568603,7486,1067100,25,165379610,337,303500,10,469300,7,666341403,7503,273,237,257,175,78
¾çÃµ±¸,245555,5,14627838,693,2731340,26,35000,1,259700,8,100000,3,14987538,704,166,113,144,104,31
¼ºµ¿±¸,22678026,130,112795045,4851,8123940,157,7275022,52,321500,22,112000,3,113228545,4876,248,187,221,165,49
±¤Áø±¸,621274,8,110452860,5893,10946390,151,63280006,163,427700,35,400400,27,111280960,5955,306,223,295,184,50
Á¾·Î±¸,12327376,89,657295746,19239,24243870,257,1140075844,2705,2047600,124,783800,53,660127146,19416,533,450,463,374,146
±ÝÃµ±¸,6585242,237,30607930,544,191000,6,56596756,180,36400,17,10000,1,30654330,562,168,116,161,107,16
°­¼­±¸,881001746,4027,79567966,1735,1205470,41,98961891,371,400100,10,46200,2,80014266,1747,353,247,307,213,80
°ü¾Ç±¸,1388299,11,94790602,8290,3821720,195,5499900,20,398600,40,1017000,15,96206202,8345,292,201,261,188,44
¿ë»ê±¸,63907813,245,580684131,20336,50291720,396,2014356472,3424,5004100,137,3110200,68,588798431,20541,573,472,493,345,207
ÀºÆò±¸,296020,4,16485710,462,3146570,40,363000,3,120350,16,207000,5,16813060,483,150,96,127,92,27
¸¶Æ÷±¸,1404794,40,795843733,38531,18030310,448,285771111,1113,10534290,608,5835600,92,812213623,39231,499,455,447,353,154
Áß¶û±¸,35900,1,8069360,265,1203900,31,236500,2,140000,2,0,0,8209360,267,110,55,99,62,4
µ¿´ë¹®±¸,1933268,10,93073560,5978,14694590,211,12682371,58,629100,83,64775,6,93767435,6067,300,211,295,163,53
°­ºÏ±¸,513900,2,7149520,313,2516580,24,445000,2,486500,22,0,0,7636020,335,146,83,128,88,13
°­µ¿±¸,186160,12,8569140,311,11251350,33,1568200,13,29600,3,450000,71,9048740,385,139,106,152,84,9
¿µµîÆ÷±¸,2081442,80,258211926,6909,12428990,91,529623278,1266,1196900,17,297200,24,259706026,6950,434,344,356,298,124
