Áö¿ª,±³Åë_ÃÑ±Ý¾×,±³Åë_ÃÑÈ½¼ö,¼îÇÎ_ÃÑ±Ý¾×,¼îÇÎ_ÃÑÈ½¼ö,ÀÇ·á_ÃÑ±Ý¾×,ÀÇ·á_ÃÑÈ½¼ö,¼÷¹Ú_ÃÑ±Ý¾×,¼÷¹Ú_ÃÑÈ½¼ö,Ã¼Çè_ÃÑ±Ý¾×,Ã¼Çè_ÃÑÈ½¼ö,½ºÆ÷Ã÷_ÃÑ±Ý¾×,½ºÆ÷Ã÷_ÃÑÈ½¼ö,¿©°¡_ÃÑ±Ý¾×,¿©°¡_ÃÑÈ½¼ö,ÆòÀÏ,ÁÖ¸»,È°µ¿,ÈÞ½Ä,ÃëÄ§
µ¿ÀÛ±¸,1018440,14,35303330,2520,24431540,112,39163389,56,93000,5,70900,4,35467230,2529,246,188,221,176,37
³ë¿ø±¸,440000,1,27504830,1447,1388950,39,252000,2,145500,13,59500,3,27709830,1463,162,103,151,97,17
Áß±¸,880726002,11381,1859715088,30905,38136410,268,4458075883,11361,6331900,183,841500,15,1866888488,31103,536,483,441,403,175
¼­ÃÊ±¸,145248691,1474,482290349,13206,134272750,376,781318183,1589,6599400,115,803900,18,489693649,13339,490,431,403,357,161
¼­´ë¹®±¸,3629278,44,218019673,14603,60710799,505,1223499041,11334,1396200,133,886350,36,220302223,14772,443,347,373,296,121
¼ÛÆÄ±¸,5041309,29,550422705,12834,40847060,164,406386458,1407,6467500,147,431200,32,557321405,13013,405,328,395,276,62
¼ººÏ±¸,1130000,15,60872720,4086,16345460,184,38190275,148,383950,41,508700,15,61765370,4142,282,191,262,156,55
°­³²±¸,209568770,1225,1171052442,25690,228731539,755,4923322959,10793,15821680,307,1985050,40,1188859172,26037,658,518,537,423,216
µµºÀ±¸,304960,6,7580880,271,1251170,5,535000,6,47000,1,0,0,7627880,272,88,53,85,53,3
±¸·Î±¸,836905350,7375,381867667,3913,3205470,44,461675813,918,348500,4,263900,3,382480067,3920,282,239,250,198,73
¾çÃµ±¸,4897328,28,20522201,560,1657150,28,89000,2,124000,2,0,0,20646201,562,163,122,161,94,30
¼ºµ¿±¸,25013302,167,135415800,5077,17775750,206,9333059,36,612900,62,403900,10,136432600,5149,275,195,258,169,43
±¤Áø±¸,2017541,12,67214470,2754,10059826,130,59098938,166,357800,27,157000,8,67729270,2789,266,204,267,157,46
Á¾·Î±¸,30879700,80,496516534,13970,39239980,292,1174396803,2711,2405200,128,382200,11,499303934,14109,493,453,455,364,127
±ÝÃµ±¸,3637010,154,41604885,619,296500,7,198107624,463,7500,4,60000,2,41672385,625,203,123,178,132,16
°­¼­±¸,1505597622,7038,159237305,3277,6596930,70,333078605,941,238700,13,0,0,159476005,3290,394,300,337,264,93
°ü¾Ç±¸,165976,3,72880140,6928,5166280,196,4150700,19,223600,23,1880000,10,74983740,6961,280,178,239,172,47
¿ë»ê±¸,160901537,417,584971904,17693,91713950,582,1531520545,3336,4858900,102,4100570,35,593931374,17830,560,444,469,364,171
ÀºÆò±¸,1309692,13,30933860,547,1588640,22,855000,4,50500,4,79000,2,31063360,553,155,89,127,90,27
¸¶Æ÷±¸,4385660,48,577855544,22049,8703030,299,779905714,2217,9680526,331,8261760,57,595797830,22437,484,414,434,333,131
Áß¶û±¸,250360,5,9974438,185,1268680,21,415000,2,39200,4,0,0,10013638,189,100,54,101,49,4
µ¿´ë¹®±¸,7452144,16,91193430,7411,13410850,160,14608781,66,652100,94,36000,2,91881530,7507,279,214,269,175,49
°­ºÏ±¸,594608,6,13831860,340,667660,15,167662,2,176400,39,0,0,14008260,379,136,90,127,86,13
°­µ¿±¸,3778104,23,14931220,354,2302150,37,1410000,14,327600,9,265500,33,15524320,396,154,80,157,66,11
¿µµîÆ÷±¸,4177923,106,335190779,8001,14058970,90,1279039694,2712,543700,30,316000,18,336050479,8049,419,310,350,272,107
