Áö¿ª,±³Åë_ÃÑ±Ý¾×,±³Åë_ÃÑÈ½¼ö,¼îÇÎ_ÃÑ±Ý¾×,¼îÇÎ_ÃÑÈ½¼ö,ÀÇ·á_ÃÑ±Ý¾×,ÀÇ·á_ÃÑÈ½¼ö,¼÷¹Ú_ÃÑ±Ý¾×,¼÷¹Ú_ÃÑÈ½¼ö,Ã¼Çè_ÃÑ±Ý¾×,Ã¼Çè_ÃÑÈ½¼ö,½ºÆ÷Ã÷_ÃÑ±Ý¾×,½ºÆ÷Ã÷_ÃÑÈ½¼ö,¿©°¡_ÃÑ±Ý¾×,¿©°¡_ÃÑÈ½¼ö,ÆòÀÏ,ÁÖ¸»,È°µ¿,ÈÞ½Ä,ÃëÄ§
µ¿ÀÛ±¸,1462110,20,37869090,1820,8687840,101,17741080,145,199600,18,74100,7,38142790,1845,239,167,219,148,39
³ë¿ø±¸,1061491,11,31913500,993,4281360,64,14020177,176,682100,24,157100,8,32752700,1025,212,158,209,121,40
Áß±¸,1624604350,16409,3919050949,47145,92948900,401,47411547195,130081,9499300,206,1903200,38,3930453449,47389,619,518,484,418,235
¼­ÃÊ±¸,69808489,1453,1203884791,18567,448868112,705,3248252758,7779,5312300,136,4341950,60,1213539041,18763,573,453,446,393,187
¼­´ë¹®±¸,3113171,46,520020815,9010,122591390,545,531484175,2386,1105500,79,899400,47,522025715,9136,429,365,380,270,144
¼ÛÆÄ±¸,2713336,44,527564843,10750,33233381,263,1407049047,5605,8704935,134,782770,41,537052548,10925,444,370,427,286,101
¼ººÏ±¸,1216337,27,50944040,3042,18305770,153,171645725,714,608900,105,109800,6,51662740,3153,311,212,277,193,53
°­³²±¸,130799819,1319,2315017313,34661,1251583948,1675,16511572655,40663,24983680,460,4205830,109,2344206823,35230,724,590,589,479,246
µµºÀ±¸,1952639,23,4387390,184,1232600,25,1027000,7,124500,4,161500,1,4673390,189,101,57,94,60,4
±¸·Î±¸,374461272,4744,7098228595,46255,5698310,65,932855107,3461,569590,19,39100,6,7098837285,46280,319,252,271,205,95
¾çÃµ±¸,1667958,23,47168073,1769,9746790,68,46000,1,438210,15,355000,6,47961283,1790,223,176,208,151,40
¼ºµ¿±¸,377486669,1406,103799615,2714,13767040,83,125366198,705,808700,36,268500,10,104876815,2760,270,200,254,164,52
±¤Áø±¸,1591000,22,61828767,1614,11605890,80,766696212,2096,615300,29,219200,6,62663267,1649,286,218,250,191,63
Á¾·Î±¸,37936750,91,1137415085,17016,47380590,399,5647318907,13104,2579800,69,974850,32,1140969735,17117,550,477,516,363,148
±ÝÃµ±¸,7239043,338,63339170,868,1330000,15,196332808,683,110600,9,40100,2,63489870,879,211,171,216,139,27
°­¼­±¸,9156425495,45755,181884427,2953,7945750,90,732109668,4042,765100,6,179500,6,182829027,2965,407,317,356,244,124
°ü¾Ç±¸,2174988,25,67732337,3002,19814200,151,32985756,36,410800,21,61000,4,68204137,3027,297,186,249,166,68
¿ë»ê±¸,681867401,2370,712211297,15403,72655010,454,3536148406,9008,10490978,122,2811700,64,725513975,15589,603,498,515,381,205
ÀºÆò±¸,2286698,28,50725516,995,5401320,64,669800,6,167900,16,68000,3,50961416,1014,237,141,216,126,36
¸¶Æ÷±¸,2816850,55,1194665864,23144,20190010,344,2332607822,7581,11625353,449,9427300,76,1215718517,23669,516,446,484,336,142
Áß¶û±¸,636381,15,24578501,365,1441660,40,70000,1,14500,2,24000,1,24617001,368,133,80,118,79,16
µ¿´ë¹®±¸,1431853,17,49087547,1720,19318290,125,1141478482,5733,548900,36,77500,3,49713947,1759,258,177,237,153,45
°­ºÏ±¸,437008,9,9581950,275,2685750,25,383314,6,163500,13,15000,1,9760450,289,150,81,136,81,14
°­µ¿±¸,1212575,27,19588590,540,24734140,131,4679600,15,130800,28,445000,39,20164390,607,213,114,200,105,22
¿µµîÆ÷±¸,5433431,134,1114727602,11386,31440420,185,4722417787,10646,1142300,35,453900,26,1116323802,11447,495,385,428,310,142
