Áö¿ª,±³Åë_ÃÑ±Ý¾×,±³Åë_ÃÑÈ½¼ö,¼îÇÎ_ÃÑ±Ý¾×,¼îÇÎ_ÃÑÈ½¼ö,ÀÇ·á_ÃÑ±Ý¾×,ÀÇ·á_ÃÑÈ½¼ö,¼÷¹Ú_ÃÑ±Ý¾×,¼÷¹Ú_ÃÑÈ½¼ö,Ã¼Çè_ÃÑ±Ý¾×,Ã¼Çè_ÃÑÈ½¼ö,½ºÆ÷Ã÷_ÃÑ±Ý¾×,½ºÆ÷Ã÷_ÃÑÈ½¼ö,¿©°¡_ÃÑ±Ý¾×,¿©°¡_ÃÑÈ½¼ö,ÆòÀÏ,ÁÖ¸»,È°µ¿,ÈÞ½Ä,ÃëÄ§
µ¿ÀÛ±¸,35262717,431,705857485,22882,478139495,3403,38704520,311,10654400,396,10635530,128,727147415,23406,562,479,491,396,154
³ë¿ø±¸,25864490,362,857690260,19418,425450129,2601,6510000,94,8214860,335,5425800,187,871330920,19940,538,417,477,362,116
Áß±¸,60303005968,339868,71075290470,983998,2391014108,10826,95403212307,261913,243428385,4747,20802750,457,71339521605,989202,853,740,635,608,350
¼­ÃÊ±¸,1196781741,26787,16275676549,881564,8634588776,17416,27080916644,44950,193601940,3163,113841610,1297,16583120099,886024,908,787,721,631,343
¼­´ë¹®±¸,62255977,777,4865182169,133735,2875291991,15167,2124622787,6056,21447550,1740,14881350,603,4901511069,136078,748,629,604,505,268
¼ÛÆÄ±¸,126039338,1390,13675705984,437558,2943157813,11993,4581398063,41601,251329360,5690,47854000,951,13974889344,444199,830,768,715,604,279
¼ººÏ±¸,38183920,574,880672837,43723,463973970,3459,353350759,1731,17534980,1046,4280200,160,902488017,44929,566,488,482,417,155
°­³²±¸,1761596076,25259,43403588686,672811,29286770084,56849,53074189448,114998,699930040,10826,109307485,1507,44212826211,685144,1034,875,762,687,460
µµºÀ±¸,22128077,327,362551902,7283,103985030,1095,1430000,21,4571000,149,4103700,64,371226602,7496,426,294,384,247,89
±¸·Î±¸,4371921342,72119,11448905251,131599,398474635,2727,4310722558,11113,13264400,408,9195460,257,11471365111,132264,641,523,523,429,212
¾çÃµ±¸,24965547,474,7128266558,35718,636449565,3265,1679500,61,22470050,550,9523500,80,7160260108,36348,526,451,477,370,130
¼ºµ¿±¸,547385528,2564,2007759932,48025,616023667,3214,125338623,859,18806640,571,8804300,278,2035370872,48874,557,507,482,417,165
±¤Áø±¸,58054665,725,1490763977,36671,911173642,3845,1931343900,5762,19384800,436,7842115,296,1517990892,37403,612,545,520,441,196
Á¾·Î±¸,15709315430,15829,11776890584,173246,2291638133,9753,21484096471,44686,37378700,1225,7900900,240,11822170184,174711,795,756,629,604,318
±ÝÃµ±¸,103910000,5460,1657339122,12039,75359870,663,562222175,2119,4524200,124,1261700,29,1663125022,12192,466,392,415,332,111
°­¼­±¸,37519200787,127641,3981820320,144746,493933454,3529,2114909418,9804,24419510,539,5276300,124,4011516130,145409,743,612,595,457,303
°ü¾Ç±¸,26872160,394,1585344771,52202,381538236,3008,28692895,355,25368640,721,2282200,83,1612995611,53006,603,510,515,415,183
¿ë»ê±¸,2442028511,10643,20964565933,402020,2422295516,16104,23622110375,51971,234123992,4256,124475531,2792,21323165456,409068,950,856,722,660,424
ÀºÆò±¸,43300468,594,1012243581,16354,176076090,1610,19740700,200,7310840,227,5414900,68,1024969321,16649,486,407,449,326,118
¸¶Æ÷±¸,106259407,1391,10681569639,225022,558859038,5287,3799936258,15979,135643278,4553,86926610,1007,10904139527,230582,783,741,630,572,322
Áß¶û±¸,21335536,192,509636134,9695,185102720,1642,9152000,129,10881150,234,2482500,73,522999784,10002,407,372,421,262,96
µ¿´ë¹®±¸,23934298,250,1122557910,29118,747973554,4038,316606665,2316,9157280,406,1350600,58,1133065790,29582,533,536,518,392,159
°­ºÏ±¸,26894817,222,386855353,7509,157816330,1298,5216156,79,8852720,210,816700,37,396524773,7756,443,411,422,320,112
°­µ¿±¸,47781403,2618,818219627,17347,476358859,3502,21968979,235,13612400,404,6901700,398,838733727,18149,555,483,509,380,149
¿µµîÆ÷±¸,116752287,2997,7717450632,203247,894175470,6064,18897739702,40728,38796750,754,12757100,367,7769004482,204368,764,684,621,542,285
